"","NEC","Baysian NEC","Piecewise","ROC"
"Categorical RMSE",9.66368389021672,9.52647186390043,13.5996617979668,18.815814826243
"MEAN",23.7132234554867,17.7726348341892,7.28634817170111,38.452528412575
"Median",21.1795703776228,18.0791921096834,6.247,38.6564925950842
"Lower CI",11.3680206360806,2.55826477364715e-05,1.0444,25.2883432161939
"Upper CI",45.5019218669477,35.2886927817353,18.094,43.9594110892243
"N",593,999,629,978
"Continuous RMSE",7.53268384453323,6.3776485042487,12.6688441480461,20.0437966634395
" MEAN",22.5707362137344,19.9018022661766,8.50790935251799,39.3400638896615
" Median",19.8265359544592,20.1753290153434,7.891,39.04100947904
" Lower CI",12.5049646967781,6.02114186872585,1.1054,30.0341595263199
" Upper CI",44.6633074935096,32.9875712044744,19.7765,49.6617277780502
"N",791,903,695,980
